FirstAuthor,count
Pennington,19
DeLuca,19
Ishizaka,19
Robb,19
Carlier,19
Sellers,19
Schramm,19
Kawakami,19
Mihăilescu,19
Popovici,19
Naylor,19
Rupp,19
Goh,19
Winkelmann,19
Buchner,19
Rosner,19
Gergely,19
Rabin,19
Malhotra,19
Hellman,19
Moreau,19
Ihle,19
Klaus,19
Seiler,19
Woodward,19
Orth,19
Freund,19
Gauthier,19
Narbonne,19
Björck,19
Jolly,19
Bhat,19
Craven,19
Sanderson,19
Bhattacharyya,19
Mintz,19
Dodd,19
Vale,19
Willems,19
Davison,19
Manning,19
Fu,19
de Vries,19
Reilly,19
Dutrillaux,19
Farkas,19
Danielsson,19
Decker,19
Tamaki,19
Fain,19
Blume,19
Hadden,19
Ali,19
Böhm,19
Kozlova,19
Seki,19
Vidal,19
Prescott,19
Bader,19
Nathanson,19
Todaro,19
Holmberg,19
Basu,19
Schweisheimer,19
Sharpe,19
Messer,19
Sanford,19
Scholle,19
Pouliquen,19
Irvin,18
Dolphin,18
Bolton,18
Bremner,18
Bode,18
Andreeva,18
Geyer,18
Kubo,18
de Carvalho,18
Tate,18
Forster,18
Tsukada,18
Hori,18
Menon,18
Ibrahim,18
Anastasatu,18
Kley,18
Halpern,18
Fontana,18
Aitken,18
Kendall,18
Stock,18
Pick,18
Parkinson,18
Stillman,18
Church,18
Till,18
Blumenkrantz,18
Castagnola,18
Hartman,18
Uemura,18
Sim,18
Kirby,18
Tanabe,18
Lemaire,18
Bone,18
Klimov,18
Platt,18
Saha,18
Pagano,18
Brook,18
Laxenaire,18
Leach,18
Whittaker,18
Gluckman,18
Kagan,18
Purtilo,18
Anders,18
Byrd,18
György,18
Harms,18
Blank,18
Ingram,18
Feldmann,18
Kawamoto,18
Cartwright,18
Oates,18
Sandberg,18
Brun,18
Rood,18
Marennikova,18
Kenney,18
Reich,18
Suter,18
Lancaster,18
Reuter,18
Farman,18
Fell,18
Elder,18
Nalin,18
Deibel,18
Bull,18
Kapoor,18
Makino,18
Pan,18
Giudicelli,18
McKenna,18
Jennett,18
Redmond,18
Kraft,18
Rozovsky,18
Appleton,18
Straus,18
Martini,18
Kleinteich,18
MacMillan,18
Bagley,18
Conti,18
Chadwick,18
Benveniste,18
Friend,18
Smart,18
zur Hausen,18
Esser,18
Vinogradova,18
Hickey,18
Shindo,18
Haugen,18
Kaminski,18
Lieber,18
Cotton,18
Kohler,18
Knoll,18
Kataoka,18
Sniderman,18
Edelstein,18
Renner,18
Shearer,18
McCarty,18
Baran,18
Hoover,18
Oakley,18
Beaumont,18
Holden,18
Grill,18
Butterfield,18
Plachy,18
Araki,18
Andreev,18
Tu,18
Chew,18
Ericsson,18
Rohde,18
Weissman,18
Corbett,18
Eliasson,18
Kawashima,18
Clement,18
Sternberg,18
Gorin,18
McPherson,18
Brennan,18
Weeks,18
Fallon,18
Kalter,18
Oster,18
Sanger,18
Wenger,18
Nash,18
Rieder,18
Essex,18
Schiff,18
Leslie,18
Colin,18
Fay,18
Bischoff,18
Jenner,17
Moyer,17
Pak,17
Kawaguchi,17
Dragomirescu,17
Strand,17
Scher,17
Chowdhury,17
Gilmore,17
Steel,17
Kozlowski,17
Haase,17
McDermott,17
Millar,17
Schaller,17
Bachmann,17
Hartung,17
Teodorescu,17
Pal,17
Lazarus,17
Eastwood,17
Jack,17
Wall,17
Picard,17
Hiramatsu,17
Starke,17
Brosseau,17
Hyde,17
Bengtsson,17
Blumberg,17
Hino,17
Kawasaki,17
van Bogaert,17
Babcock,17
Delaire,17
Sargent,17
Sander,17
Shigematsu,17
Hermann,17
Laing,17
Calne,17
Koide,17
Eastman,17
Rousseau,17
Yamasaki,17
Burgener,17
Siddiqui,17
McManus,17
Horrobin,17
Ramachandran,17
Chouinard,17
Sugita,17
Yamauchi,17
Dumont,17
Mato,17
Chattopadhyay,17
Alonso,17
Wing,17
Mooney,17
Johnsen,17
Zhdanov,17
Okamura,17
Buck,17
Weitzman,17
Lebedeva,17
Gospodarowicz,17
Rodrigues,17
Adamson,17
Harter,17
Zucker,17
Felman,17
Nikitina,17
Tisdale,17
Egan,17
Robins,17
Naess,17
Franken,17
Ferreira,17
Yajima,17
Volkova,17
Postel,17
Costello,17
Kogan,17
Searle,17
Weir,17
Lamy,17
Butterworth,17
Nagel,17
Lapin,17
Conley,17
Nissen,17
Ban,17
de Jong,17
Wiley,17
Hays,17
Brodsky,17
Will,17
Mogensen,17
Fehér,17
Mello,17
Dietrich,17
Connolly,17
Bartsch,17
Shelton,17
Hubbard,17
Rösch,17
Bean,17
Ohlsson,17
Doi,17
Best,17
Wallis,17
Mittal,17
Salomon,17
Wehrlin,17
Gelfand,17
Fedorova,17
Lundberg,17
Glatt,17
Frolova,17
Javadpour,17
Duffy,17
Kanda,17
Abel,17
Seto,17
Hopper,17
Plant,17
Draper,17
Schachter,17
Steer,17
Dopson,17
Grieve,17
Agrup,17
Shulman,17
Ivey,17
Pittman,17
Clausen,17
Volpe,17
Noonan,17
Furman,17
Partridge,17
Jäger,17
Meldrum,17
Burkhardt,17
Hochman,17
Hartlmaier,17
Colman,16
Arndt,16
Healy,16
Guidotti,16
Schaeffer,16
Guillemin,16
Terada,16
Sterling,16
Shaposhnikov,16
Hoppe,16
Newell,16
Hampton,16
Betz,16
Holder,16
Nixon,16
Read,16
Wikman-Coffelt,16
Bullock,16
Colombo,16
Chaudhuri,16
Main,16
Mirrakhimov,16
Biggio,16
Girolami,16
Glasgow,16
Hirayama,16
Alford,16
Buxton,16
Calvert,16
Scully,16
Schaub,16
Fries,16
Shapira,16
Sugden,16
Ditzel,16
Greenwald,16
Stephan,16
Thiele,16
Teitelbaum,16
